Accession,GenBank_RefSeq,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date,Release_Date
OQ341818.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-7131/2020, complete genome",29767,complete,South Africa: Western Cape,South Africa,Homo sapiens,11/30/2020,1/27/2023
OQ130525.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS11263/2022, complete genome",29764,complete,Kenya,Kenya,Homo sapiens,12/4/2022,12/28/2022
OQ050408.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV189/2020, complete genome",29844,complete,Nigeria,Nigeria,Homo sapiens,6/16/2020,12/15/2022
OQ050416.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV22-1/2020, complete genome",29821,complete,Nigeria,Nigeria,Homo sapiens,3/29/2020,12/15/2022
OQ050435.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV253/2020, complete genome",29862,complete,Nigeria,Nigeria,Homo sapiens,4/20/2020,12/15/2022
OQ050461.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV280/2020, complete genome",29856,complete,Nigeria,Nigeria,Homo sapiens,5/5/2020,12/15/2022
OQ050463.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV285/2020, complete genome",29866,complete,Nigeria,Nigeria,Homo sapiens,6/24/2020,12/15/2022
OQ050492.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV321/2020, complete genome",29825,complete,Nigeria,Nigeria,Homo sapiens,7/17/2020,12/15/2022
OQ050526.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV360/2020, complete genome",29834,complete,Nigeria,Nigeria,Homo sapiens,7/1/2020,12/15/2022
OQ050581.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV532/2020, complete genome",29831,complete,Nigeria,Nigeria,Homo sapiens,11/15/2020,12/15/2022
OQ050591.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV544/2020, complete genome",29834,complete,Nigeria,Nigeria,Homo sapiens,12/3/2020,12/15/2022
OQ050601.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV558/2020, complete genome",29834,complete,Nigeria,Nigeria,Homo sapiens,12/27/2020,12/15/2022
OQ050608.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV567/2020, complete genome",29836,complete,Nigeria,Nigeria,Homo sapiens,12/3/2020,12/15/2022
OQ050609.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV568/2020, complete genome",29834,complete,Nigeria,Nigeria,Homo sapiens,12/3/2020,12/15/2022
OQ050641.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV624/2021, complete genome",29900,complete,Nigeria,Nigeria,Homo sapiens,1/13/2021,12/15/2022
OQ050737.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV731/2021, complete genome",29810,complete,Nigeria,Nigeria,Homo sapiens,1/2/2021,12/15/2022
OQ050893.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV1992/2021, complete genome",29845,complete,Nigeria,Nigeria,Homo sapiens,7/8/2021,12/15/2022
OQ050991.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV2339/2021, complete genome",29840,complete,Nigeria,Nigeria,Homo sapiens,8/13/2021,12/15/2022
OQ051039.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV2391/2021, complete genome",29844,complete,Nigeria,Nigeria,Homo sapiens,8/11/2021,12/15/2022
OQ051043.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV2395/2021, complete genome",29832,complete,Nigeria,Nigeria,Homo sapiens,8/11/2021,12/15/2022
OQ051045.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV2398/2021, complete genome",29846,complete,Nigeria,Nigeria,Homo sapiens,8/11/2021,12/15/2022
OQ051049.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV2404/2021, complete genome",29809,complete,Nigeria,Nigeria,Homo sapiens,8/11/2021,12/15/2022
OQ051060.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV2415/2021, complete genome",29838,complete,Nigeria,Nigeria,Homo sapiens,8/9/2021,12/15/2022
OQ051080.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV2436/2021, complete genome",29835,complete,Nigeria,Nigeria,Homo sapiens,8/10/2021,12/15/2022
OQ051098.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV2458/2021, complete genome",29815,complete,Nigeria,Nigeria,Homo sapiens,8/10/2021,12/15/2022
OQ051262.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV2626/2021, complete genome",29842,complete,Nigeria,Nigeria,Homo sapiens,8/20/2021,12/15/2022
OQ051442.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV2813/2021, complete genome",29845,complete,Nigeria,Nigeria,Homo sapiens,8/19/2021,12/15/2022
OQ051593.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV2895/2021, complete genome",29799,complete,Nigeria,Nigeria,Homo sapiens,8/25/2021,12/15/2022
OQ051715.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3112/2021, complete genome",29786,complete,Nigeria,Nigeria,Homo sapiens,8/30/2021,12/15/2022
OQ051807.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3360/2021, complete genome",29803,complete,Nigeria,Nigeria,Homo sapiens,9/9/2021,12/15/2022
OQ051813.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3326/2021, complete genome",29816,complete,Nigeria,Nigeria,Homo sapiens,9/1/2021,12/15/2022
OQ051824.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3311/2021, complete genome",29803,complete,Nigeria,Nigeria,Homo sapiens,8/31/2021,12/15/2022
OQ051825.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3175/2021, complete genome",29816,complete,Nigeria,Nigeria,Homo sapiens,7/26/2021,12/15/2022
OQ051866.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3448/2021, complete genome",29816,complete,Nigeria,Nigeria,Homo sapiens,9/20/2021,12/15/2022
OQ051867.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3203/2021, complete genome",29816,complete,Nigeria,Nigeria,Homo sapiens,8/12/2021,12/15/2022
OQ051883.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3415/2021, complete genome",29794,complete,Nigeria,Nigeria,Homo sapiens,9/17/2021,12/15/2022
OQ051890.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3192/2021, complete genome",29796,complete,Nigeria,Nigeria,Homo sapiens,8/9/2021,12/15/2022
OQ051895.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3433/2021, complete genome",29816,complete,Nigeria,Nigeria,Homo sapiens,9/6/2021,12/15/2022
OQ051901.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3419/2021, complete genome",29798,complete,Nigeria,Nigeria,Homo sapiens,9/17/2021,12/15/2022
OQ051955.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3139/2021, complete genome",29816,complete,Nigeria,Nigeria,Homo sapiens,9/7/2021,12/15/2022
OQ051995.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3413/2021, complete genome",29816,complete,Nigeria,Nigeria,Homo sapiens,9/15/2021,12/15/2022
OQ052003.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3418/2021, complete genome",29816,complete,Nigeria,Nigeria,Homo sapiens,9/17/2021,12/15/2022
OQ052067.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3264/2021, complete genome",29804,complete,Nigeria,Nigeria,Homo sapiens,8/26/2021,12/15/2022
OQ052079.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3230/2021, complete genome",29816,complete,Nigeria,Nigeria,Homo sapiens,8/20/2021,12/15/2022
OQ052103.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3254/2021, complete genome",29816,complete,Nigeria,Nigeria,Homo sapiens,8/24/2021,12/15/2022
OQ052110.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3458/2021, complete genome",29804,complete,Nigeria,Nigeria,Homo sapiens,9/3/2021,12/15/2022
OQ052119.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3242/2021, complete genome",29798,complete,Nigeria,Nigeria,Homo sapiens,8/23/2021,12/15/2022
OQ052133.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3268/2021, complete genome",29799,complete,Nigeria,Nigeria,Homo sapiens,8/26/2021,12/15/2022
OQ052137.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3129/2021, complete genome",29816,complete,Nigeria,Nigeria,Homo sapiens,9/4/2021,12/15/2022
OQ052155.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV3133/2021, complete genome",29816,complete,Nigeria,Nigeria,Homo sapiens,9/6/2021,12/15/2022
OQ052520.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV4973/2021, complete genome",29797,complete,Nigeria,Nigeria,Homo sapiens,12/17/2021,12/15/2022
OQ052554.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV4863/2021, complete genome",29799,complete,Nigeria,Nigeria,Homo sapiens,12/14/2021,12/15/2022
OQ052560.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV4964/2021, complete genome",29789,complete,Nigeria,Nigeria,Homo sapiens,12/17/2021,12/15/2022
OQ052565.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV4976/2021, complete genome",29788,complete,Nigeria,Nigeria,Homo sapiens,12/15/2021,12/15/2022
OQ052598.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV4886/2021, complete genome",29797,complete,Nigeria,Nigeria,Homo sapiens,12/15/2021,12/15/2022
OQ052657.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV4803/2021, complete genome",29790,complete,Nigeria,Nigeria,Homo sapiens,12/4/2021,12/15/2022
OQ052678.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV4925/2021, complete genome",29786,complete,Nigeria,Nigeria,Homo sapiens,12/21/2021,12/15/2022
OQ052791.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/CV4805/2021, complete genome",29786,complete,Nigeria,Nigeria,Homo sapiens,12/6/2021,12/15/2022
OP963525.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS11152/2022, complete genome",29770,complete,Kenya,Kenya,Homo sapiens,11/19/2022,12/7/2022
OP963542.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS11162/2022, complete genome",29745,complete,Kenya,Kenya,Homo sapiens,11/23/2022,12/7/2022
OP890880.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS10924/2022, complete genome",29767,complete,Kenya,Kenya,Homo sapiens,10/3/2022,11/25/2022
OP883605.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/SS10608/2022, complete genome",29748,complete,Seychelles,Seychelles,Homo sapiens,6/23/2022,11/23/2022
OP883736.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS10678/2021, complete genome",29788,complete,Kenya,Kenya,Homo sapiens,12/18/2021,11/23/2022
OP883741.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS10677/2021, complete genome",29786,complete,Kenya,Kenya,Homo sapiens,12/18/2021,11/23/2022
OP883793.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS10747/2021, complete genome",29747,complete,Kenya,Kenya,Homo sapiens,12/24/2021,11/23/2022
OP809726.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_F809/2022, complete genome",29718,complete,Djibouti,Djibouti,Homo sapiens,7/13/2022,11/11/2022
OP809734.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_F997/2022, complete genome",29718,complete,Djibouti,Djibouti,Homo sapiens,7/5/2022,11/11/2022
OP809735.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_G309/2022, complete genome",29718,complete,Djibouti,Djibouti,Homo sapiens,7/30/2022,11/11/2022
OP809738.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_G720/2022, complete genome",29712,complete,Djibouti,Djibouti,Homo sapiens,7/8/2022,11/11/2022
OP809748.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_H059/2022, complete genome",29705,complete,Djibouti,Djibouti,Homo sapiens,7/25/2022,11/11/2022
OP809762.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_H151/2022, complete genome",29705,complete,Djibouti,Djibouti,Homo sapiens,7/20/2022,11/11/2022
OP809777.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_H325/2022, complete genome",29718,complete,Djibouti,Djibouti,Homo sapiens,8/4/2022,11/11/2022
OP711901.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/KEM-21-07-103290/2021, complete genome",29701,complete,Kenya,Kenya,Homo sapiens,7/28/2021,10/24/2022
OP581575.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GMB/112024/2021, complete genome",29782,complete,Gambia,Gambia,Homo sapiens,3/9/2021,10/4/2022
OP508798.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_E875/2022, complete genome",29733,complete,Djibouti,Djibouti,Homo sapiens,5/16/2022,9/23/2022
OP508807.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_E909/2022, complete genome",29724,complete,Djibouti,Djibouti,Homo sapiens,5/10/2022,9/23/2022
OP508859.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_F680/2022, complete genome",29730,complete,Djibouti,Djibouti,Homo sapiens,6/21/2022,9/23/2022
OP508876.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_F938/2022, complete genome",29709,complete,Djibouti,Djibouti,Homo sapiens,7/5/2022,9/23/2022
OP508887.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_H006/2022, complete genome",29718,complete,Djibouti,Djibouti,Homo sapiens,6/30/2022,9/23/2022
OP508899.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_H033/2022, complete genome",29709,complete,Djibouti,Djibouti,Homo sapiens,6/24/2022,9/23/2022
OP183429.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/EGY/OMICRON-14/2022, complete genome",29876,complete,Egypt,Egypt,Homo sapiens,7/1/2022,8/9/2022
OP183442.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/EGY/OMICRON-27/2022, complete genome",29876,complete,Egypt,Egypt,Homo sapiens,7/7/2022,8/9/2022
OP053400.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GP-O827/2022, complete genome",29705,complete,South Africa: Western Cape,South Africa,Homo sapiens,5/10/2022,7/25/2022
OP053595.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/NHLS-UCT-GS-C072/2021, complete genome",29758,complete,South Africa: Western Cape,South Africa,Homo sapiens,6/4/2021,7/25/2022
ON979388.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-JIN210177S/2021, complete genome",29769,complete,Uganda,Uganda,Homo sapiens,6/16/2021,7/13/2022
ON979389.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-KIR210175S/2021, complete genome",29769,complete,Uganda,Uganda,Homo sapiens,6/16/2021,7/13/2022
ON979394.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-KIR210193S/2021, complete genome",29769,complete,Uganda,Uganda,Homo sapiens,6/18/2021,7/13/2022
ON979395.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-KIR210533S/2021, complete genome",29769,complete,Uganda,Uganda,Homo sapiens,10/12/2021,7/13/2022
ON979414.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-KIR210186S/2021, complete genome",29769,complete,Uganda,Uganda,Homo sapiens,6/17/2021,7/13/2022
ON871899.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS9100/2021, complete genome",29747,complete,Kenya,Kenya,Homo sapiens,12/17/2021,6/29/2022
ON871953.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS9163/2021, complete genome",29747,complete,Kenya,Kenya,Homo sapiens,12/20/2021,6/29/2022
ON703270.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-KIR210135S/2021, complete genome",29769,complete,Uganda,Uganda,Homo sapiens,6/1/2021,6/7/2022
ON647487.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SouthAfrica/NHLS-UCT-GS-C443/2021, complete genome",29763,complete,South Africa: Western Cape,South Africa,Homo sapiens,6/15/2021,6/1/2022
ON602839.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS7408/2022, complete genome",29747,complete,Kenya,Kenya,Homo sapiens,1/2/2022,5/25/2022
ON603063.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS8052/2021, complete genome",29764,complete,Kenya,Kenya,Homo sapiens,8/26/2021,5/25/2022
ON287357.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SouthAfrica/NHLS-UCT-GS-C513/2021, complete genome",29758,complete,South Africa,South Africa,Homo sapiens,6/11/2021,4/20/2022
ON099593.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_B339/2022, complete genome",29747,complete,Djibouti,Djibouti,Homo sapiens,1/9/2022,3/29/2022
ON099597.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_B484/2022, complete genome",29747,complete,Djibouti,Djibouti,Homo sapiens,1/10/2022,3/29/2022
ON099605.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_B552/2022, complete genome",29747,complete,Djibouti,Djibouti,Homo sapiens,1/21/2022,3/29/2022
ON099796.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/MWI/MLW001205/2021, complete genome",29720,complete,Malawi,Malawi,Homo sapiens,1/26/2021,3/29/2022
ON099852.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/MWI/MLW000802/2021, complete genome",29708,complete,Malawi,Malawi,Homo sapiens,12/17/2021,3/29/2022
ON099931.1,GenBank,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/MWI/MLW000813/2021, complete genome",29708,complete,Malawi,Malawi,Homo sapiens,12/13/2021,3/29/2022
